figure,specimen,row_px1200,x_pt,y_pt,run_width_px,slip_in,load_kips
Fig. 3.15,DBLNB-05ST,1206,258.29,482.39,143,0.15869,32.646
Fig. 3.15,DBLNB-05ST,1207,258.23,482.45,143,0.15856,32.628
Fig. 3.15,DBLNB-05ST,1208,258.17,482.51,143,0.15843,32.611
Fig. 3.15,DBLNB-05ST,1209,258.11,482.57,143,0.1583,32.593
Fig. 3.15,DBLNB-05ST,1210,258.05,482.63,143,0.15816,32.575
Fig. 3.15,DBLNB-05ST,1211,258.02,482.69,142,0.1581,32.557
Fig. 3.15,DBLNB-05ST,1212,257.93,482.75,143,0.1579,32.54
Fig. 3.15,DBLNB-05ST,1213,257.87,482.81,143,0.15777,32.522
Fig. 3.15,DBLNB-05ST,1214,257.81,482.87,143,0.15764,32.504
Fig. 3.15,DBLNB-05ST,1215,257.75,482.93,143,0.15751,32.487
Fig. 3.15,DBLNB-05ST,1216,257.69,482.99,143,0.15738,32.469
Fig. 3.15,DBLNB-05ST,1217,257.63,483.05,143,0.15724,32.451
Fig. 3.15,DBLNB-05ST,1218,257.57,483.11,143,0.15711,32.433
Fig. 3.15,DBLNB-05ST,1219,257.51,483.17,143,0.15698,32.416
Fig. 3.15,DBLNB-05ST,1220,257.45,483.23,143,0.15685,32.398
Fig. 3.15,DBLNB-05ST,1221,257.42,483.29,142,0.15678,32.38
Fig. 3.15,DBLNB-05ST,1222,257.33,483.35,143,0.15659,32.362
Fig. 3.15,DBLNB-05ST,1223,257.27,483.41,143,0.15646,32.345
Fig. 3.15,DBLNB-05ST,1224,257.21,483.47,143,0.15632,32.327
Fig. 3.15,DBLNB-05ST,1225,257.15,483.53,143,0.15619,32.309
Fig. 3.15,DBLNB-05ST,1226,257.09,483.59,143,0.15606,32.292
Fig. 3.15,DBLNB-05ST,1227,257.03,483.65,143,0.15593,32.274
Fig. 3.15,DBLNB-05ST,1228,256.97,483.71,143,0.1558,32.256
Fig. 3.15,DBLNB-05ST,1229,256.91,483.77,143,0.15567,32.238
Fig. 3.15,DBLNB-05ST,1230,256.88,483.83,142,0.1556,32.221
Fig. 3.15,DBLNB-05ST,1231,256.82,483.89,142,0.15547,32.203
Fig. 3.15,DBLNB-05ST,1232,256.76,483.95,142,0.15534,32.185
Fig. 3.15,DBLNB-05ST,1233,256.67,484.01,143,0.15514,32.168
Fig. 3.15,DBLNB-05ST,1234,256.61,484.07,143,0.15501,32.15
Fig. 3.15,DBLNB-05ST,1235,256.55,484.13,143,0.15488,32.132
Fig. 3.15,DBLNB-05ST,1236,256.49,484.19,143,0.15475,32.114
Fig. 3.15,DBLNB-05ST,1237,256.37,484.25,143,0.15448,32.097
Fig. 3.15,DBLNB-05ST,1238,256.31,484.31,143,0.15435,32.079
Fig. 3.15,DBLNB-05ST,1239,256.25,484.37,143,0.15422,32.061
Fig. 3.15,DBLNB-05ST,1240,256.19,484.43,143,0.15409,32.044
Fig. 3.15,DBLNB-05ST,1241,256.13,484.49,143,0.15396,32.026
Fig. 3.15,DBLNB-05ST,1242,256.07,484.55,143,0.15383,32.008
Fig. 3.15,DBLNB-05ST,1243,256.01,484.61,143,0.1537,31.99
Fig. 3.15,DBLNB-05ST,1244,255.95,484.67,143,0.15356,31.973
Fig. 3.15,DBLNB-05ST,1245,255.89,484.73,143,0.15343,31.955
Fig. 3.15,DBLNB-05ST,1246,255.83,484.79,143,0.1533,31.937
Fig. 3.15,DBLNB-05ST,1247,255.77,484.85,143,0.15317,31.92
Fig. 3.15,DBLNB-05ST,1248,255.68,484.91,142,0.15297,31.902
Fig. 3.15,DBLNB-05ST,1249,255.62,484.97,142,0.15284,31.884
Fig. 3.15,DBLNB-05ST,1250,255.53,485.03,141,0.15264,31.866
Fig. 3.15,DBLNB-05ST,1251,255.44,485.09,140,0.15245,31.849
Fig. 3.15,DBLNB-05ST,1252,255.35,485.15,139,0.15225,31.831
Fig. 3.15,DBLNB-05ST,1253,255.26,485.21,138,0.15205,31.813
Fig. 3.15,DBLNB-05ST,1254,255.11,485.27,135,0.15172,31.795
Fig. 3.15,DBLNB-05ST,1255,254.99,485.33,133,0.15146,31.778
Fig. 3.15,DBLNB-05ST,1256,254.93,485.39,133,0.15133,31.76
Fig. 3.15,DBLNB-05ST,1257,254.87,485.45,133,0.1512,31.742
Fig. 3.15,DBLNB-05ST,1258,254.84,485.51,132,0.15113,31.725
Fig. 3.15,DBLNB-05ST,1259,254.78,485.57,132,0.151,31.707
Fig. 3.15,DBLNB-05ST,1260,254.72,485.63,132,0.15087,31.689
Fig. 3.15,DBLNB-05ST,1261,254.66,485.69,132,0.15074,31.671
Fig. 3.15,DBLNB-05ST,1262,254.6,485.75,132,0.15061,31.654
Fig. 3.15,DBLNB-05ST,1263,254.54,485.81,132,0.15048,31.636
Fig. 3.15,DBLNB-05ST,1264,254.48,485.87,132,0.15034,31.618
Fig. 3.15,DBLNB-05ST,1265,254.42,485.93,132,0.15021,31.601
Fig. 3.15,DBLNB-05ST,1266,254.33,485.99,131,0.15002,31.583
Fig. 3.15,DBLNB-05ST,1267,254.27,486.05,131,0.14988,31.565
Fig. 3.15,DBLNB-05ST,1268,254.18,486.11,132,0.14969,31.547
Fig. 3.15,DBLNB-05ST,1269,254.12,486.17,132,0.14956,31.53
Fig. 3.15,DBLNB-05ST,1270,254.06,486.23,132,0.14942,31.512
Fig. 3.15,DBLNB-05ST,1271,254.0,486.29,132,0.14929,31.494
Fig. 3.15,DBLNB-05ST,1272,253.97,486.35,133,0.14923,31.477
Fig. 3.15,DBLNB-05ST,1273,253.91,486.41,133,0.1491,31.459
Fig. 3.15,DBLNB-05ST,1274,253.85,486.47,133,0.14896,31.441
Fig. 3.15,DBLNB-05ST,1275,253.79,486.53,133,0.14883,31.423
Fig. 3.15,DBLNB-05ST,1276,253.73,486.59,133,0.1487,31.406
Fig. 3.15,DBLNB-05ST,1277,253.67,486.65,133,0.14857,31.388
Fig. 3.15,DBLNB-05ST,1278,253.61,486.71,133,0.14844,31.37
Fig. 3.15,DBLNB-05ST,1279,253.55,486.77,133,0.14831,31.352
Fig. 3.15,DBLNB-05ST,1280,253.49,486.83,131,0.14818,31.335
Fig. 3.15,DBLNB-05ST,1281,253.43,486.89,131,0.14804,31.317
Fig. 3.15,DBLNB-05ST,1282,253.4,486.95,132,0.14798,31.299
Fig. 3.15,DBLNB-05ST,1283,253.34,487.01,132,0.14785,31.282
Fig. 3.15,DBLNB-05ST,1284,253.28,487.07,132,0.14772,31.264
Fig. 3.15,DBLNB-05ST,1285,253.22,487.13,132,0.14758,31.246
Fig. 3.15,DBLNB-05ST,1286,253.16,487.19,132,0.14745,31.228
Fig. 3.15,DBLNB-05ST,1287,253.1,487.25,132,0.14732,31.211
Fig. 3.15,DBLNB-05ST,1288,253.04,487.31,132,0.14719,31.193
Fig. 3.15,DBLNB-05ST,1289,252.98,487.37,132,0.14706,31.175
Fig. 3.15,DBLNB-05ST,1290,252.89,487.43,131,0.14686,31.158
Fig. 3.15,DBLNB-05ST,1291,252.83,487.49,131,0.14673,31.14
Fig. 3.15,DBLNB-05ST,1292,252.8,487.55,132,0.14666,31.122
Fig. 3.15,DBLNB-05ST,1293,252.74,487.61,132,0.14653,31.104
Fig. 3.15,DBLNB-05ST,1294,252.68,487.67,132,0.1464,31.087
Fig. 3.15,DBLNB-05ST,1295,252.62,487.73,132,0.14627,31.069
Fig. 3.15,DBLNB-05ST,1296,252.56,487.79,132,0.14614,31.051
