figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
report_fig5-14,DBLNB-30BS_center,69,markers,369,377.04,244.41,3142.0,2036.7,6.72,6.78,6.5163,169.685
report_fig5-14,DBLNB-30BS_center,70,markers,374,392.82,244.41,3273.5,2036.7,6.72,6.78,7.0253,169.685
report_fig5-14,DBLNB-30BS_center,71,markers,379,392.82,245.19,3273.5,2043.3,6.72,6.78,7.0253,168.58
report_fig5-14,DBLNB-30BS_center,72,markers,384,437.94,244.41,3649.5,2036.7,6.72,6.78,8.4807,169.685
report_fig5-14,DBLNB-30BS_center,73,markers,389,455.25,248.19,3793.7,2068.3,6.78,6.78,9.0391,164.328
report_fig5-14,HASAA-30BS_center,1,markers,394,175.106,364.111,1459.2,3034.3,7.5,7.5,0.0028,0.042
report_fig5-14,HASAA-30BS_center,2,markers,395,175.887,360.391,1465.7,3003.3,7.5,7.5,0.028,5.313
report_fig5-14,HASAA-30BS_center,3,markers,396,177.386,356.61,1478.2,2971.8,7.5,7.5,0.0764,10.671
report_fig5-14,HASAA-30BS_center,4,markers,397,178.136,353.611,1484.5,2946.8,7.56,7.5,0.1005,14.922
report_fig5-14,HASAA-30BS_center,5,markers,398,178.887,349.891,1490.7,2915.8,7.5,7.5,0.1247,20.195
report_fig5-14,HASAA-30BS_center,6,markers,399,178.887,349.891,1490.7,2915.8,7.5,7.5,0.1247,20.195
report_fig5-14,HASAA-30BS_center,7,markers,400,180.386,346.111,1503.2,2884.3,7.5,7.5,0.1731,25.551
report_fig5-14,HASAA-30BS_center,8,markers,401,181.137,343.111,1509.5,2859.3,7.56,7.5,0.1973,29.803
report_fig5-14,HASAA-30BS_center,9,markers,402,181.137,343.111,1509.5,2859.3,7.56,7.5,0.1973,29.803
report_fig5-14,HASAA-30BS_center,10,markers,403,182.636,339.391,1522.0,2828.3,7.56,7.5,0.2457,35.075
report_fig5-14,HASAA-30BS_center,11,markers,404,182.636,339.391,1522.0,2828.3,7.56,7.5,0.2457,35.075
report_fig5-14,HASAA-30BS_center,12,markers,405,183.387,335.611,1528.2,2796.8,7.5,7.5,0.2699,40.433
report_fig5-14,HASAA-30BS_center,13,markers,406,184.886,332.611,1540.7,2771.8,7.5,7.5,0.3183,44.685
report_fig5-14,HASAA-30BS_center,14,markers,407,186.387,328.861,1553.2,2740.5,7.5,7.56,0.3667,49.999
report_fig5-14,HASAA-30BS_center,15,markers,408,187.916,325.11,1566.0,2709.3,7.56,7.5,0.416,55.314
report_fig5-14,HASAA-30BS_center,16,markers,409,189.416,322.111,1578.5,2684.3,7.56,7.5,0.4644,59.565
report_fig5-14,HASAA-30BS_center,17,markers,410,190.166,318.331,1584.7,2652.8,7.5,7.5,0.4886,64.922
report_fig5-14,HASAA-30BS_center,18,markers,411,191.666,314.611,1597.2,2621.8,7.5,7.5,0.537,70.194
report_fig5-14,HASAA-30BS_center,19,markers,412,193.167,311.611,1609.7,2596.8,7.5,7.5,0.5854,74.446
report_fig5-14,HASAA-30BS_center,20,markers,413,193.916,307.831,1616.0,2565.3,7.56,7.5,0.6095,79.802
report_fig5-14,HASAA-30BS_center,21,markers,414,195.447,304.111,1628.7,2534.3,7.5,7.5,0.6589,85.075
report_fig5-14,HASAA-30BS_center,22,markers,415,196.946,300.331,1641.2,2502.8,7.5,7.5,0.7073,90.432
report_fig5-14,HASAA-30BS_center,23,markers,416,198.446,297.331,1653.7,2477.8,7.5,7.5,0.7557,94.684
report_fig5-14,HASAA-30BS_center,24,markers,417,199.946,293.61,1666.2,2446.8,7.5,7.5,0.804,99.957
report_fig5-14,HASAA-30BS_center,25,markers,418,201.446,289.831,1678.7,2415.3,7.5,7.5,0.8524,105.313
report_fig5-14,HASAA-30BS_center,26,markers,419,202.196,286.831,1685.0,2390.3,7.56,7.5,0.8766,109.565
report_fig5-14,HASAA-30BS_center,27,markers,420,204.446,283.051,1703.7,2358.8,7.5,7.5,0.9492,114.922
report_fig5-14,HASAA-30BS_center,28,markers,421,205.946,279.331,1716.2,2327.8,7.5,7.5,0.9976,120.195
report_fig5-14,HASAA-30BS_center,29,markers,422,207.446,276.331,1728.7,2302.8,7.5,7.5,1.0459,124.445
report_fig5-14,HASAA-30BS_center,30,markers,423,208.946,272.551,1741.2,2271.3,7.5,7.5,1.0943,129.803
report_fig5-14,HASAA-30BS_center,31,markers,424,210.446,268.831,1753.7,2240.3,7.5,7.5,1.1427,135.075
report_fig5-14,HASAA-30BS_center,32,markers,425,211.976,265.831,1766.5,2215.3,7.56,7.5,1.1921,139.327
report_fig5-14,HASAA-30BS_center,33,markers,426,214.226,262.052,1785.2,2183.8,7.5,7.5,1.2646,144.683
report_fig5-14,HASAA-30BS_center,34,markers,427,215.726,258.331,1797.7,2152.8,7.5,7.5,1.313,149.956
report_fig5-14,HASAA-30BS_center,35,markers,428,217.226,254.551,1810.2,2121.3,7.5,7.5,1.3614,155.313
report_fig5-14,HASAA-30BS_center,36,markers,429,219.505,251.551,1829.2,2096.3,7.5,7.5,1.4349,159.565
report_fig5-14,HASAA-30BS_center,37,markers,430,221.006,247.801,1841.7,2065.0,7.5,7.56,1.4833,164.88
report_fig5-14,HASAA-30BS_center,38,markers,431,223.256,244.051,1860.5,2033.8,7.56,7.5,1.5559,170.194
report_fig5-14,HASAA-30BS_center,39,markers,432,225.506,241.051,1879.2,2008.8,7.5,7.5,1.6285,174.446
report_fig5-14,HASAA-30BS_center,40,markers,433,227.756,237.271,1898.0,1977.3,7.56,7.5,1.7011,179.802
report_fig5-14,HASAA-30BS_center,41,markers,434,230.006,233.551,1916.7,1946.3,7.5,7.5,1.7736,185.075
report_fig5-14,HASAA-30BS_center,42,markers,435,233.006,231.271,1941.7,1927.3,7.5,7.5,1.8704,188.307
report_fig5-14,HASAA-30BS_center,43,markers,436,236.035,227.551,1967.0,1896.3,7.56,7.5,1.9681,193.578
report_fig5-14,HASAA-30BS_center,44,markers,437,239.036,224.551,1992.0,1871.3,7.56,7.5,2.0649,197.83
report_fig5-14,HASAA-30BS_center,45,markers,438,243.565,220.772,2029.7,1839.8,7.5,7.5,2.211,203.187
report_fig5-14,HASAA-30BS_center,46,markers,439,247.315,220.051,2061.0,1833.8,7.56,7.5,2.332,204.207
report_fig5-14,HASAA-30BS_center,47,markers,440,249.565,216.271,2079.7,1802.3,7.5,7.5,2.4045,209.565
report_fig5-14,HASAA-30BS_center,48,markers,441,251.815,214.051,2098.5,1783.8,7.56,7.5,2.4771,212.712
report_fig5-14,HASAA-30BS_center,49,markers,442,257.845,210.271,2148.7,1752.3,7.5,7.5,2.6716,218.068
report_fig5-14,HASAA-30BS_center,50,markers,443,263.845,207.271,2198.7,1727.3,7.5,7.5,2.8652,222.32
report_fig5-14,HASAA-30BS_center,51,markers,444,268.375,205.771,2236.5,1714.8,7.56,7.5,3.0113,224.445
report_fig5-14,HASAA-30BS_center,52,markers,445,286.405,199.771,2386.7,1664.8,7.5,7.5,3.5928,232.949
report_fig5-14,HASAA-30BS_center,53,markers,446,291.684,198.992,2430.7,1658.3,7.5,7.5,3.7631,234.054
report_fig5-14,HASAA-30BS_center,54,markers,447,299.184,198.271,2493.2,1652.3,7.5,7.5,4.005,235.075
report_fig5-14,HASAA-30BS_center,55,markers,448,299.184,198.271,2493.2,1652.3,7.5,7.5,4.005,235.075
report_fig5-14,HASAA-30BS_center,56,markers,449,307.464,196.771,2562.2,1639.8,7.5,7.5,4.2721,237.201
report_fig5-14,HASAA-30BS_center,57,markers,450,314.994,195.271,2625.0,1627.3,7.56,7.5,4.515,239.327
report_fig5-14,HASAA-30BS_center,58,markers,451,314.994,195.271,2625.0,1627.3,7.56,7.5,4.515,239.327
report_fig5-14,HASAA-30BS_center,59,markers,452,326.273,263.551,2718.9,2196.3,7.56,7.5,4.8788,142.558
report_fig5-14,HASAA-30BS_center,60,markers,453,326.273,263.551,2718.9,2196.3,7.56,7.5,4.8788,142.558
