figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
thesis_fig4-22,HTFGB-30BS_center,69,markers,145,225.24,193.02,1877.0,1608.5,7.92,7.92,1.5099,144.643
thesis_fig4-22,HTFGB-30BS_center,70,markers,147,226.44,190.32,1887.0,1586.0,7.92,7.92,1.5628,149.843
thesis_fig4-22,HTFGB-30BS_center,71,markers,149,226.44,190.5,1887.0,1587.5,7.92,7.92,1.5628,149.496
thesis_fig4-22,HTFGB-30BS_center,72,markers,151,227.1,190.68,1892.5,1589.0,7.92,7.92,1.5919,149.15
thesis_fig4-22,HTFGB-30BS_center,73,markers,153,227.1,190.74,1892.5,1589.5,7.92,7.92,1.5919,149.034
thesis_fig4-22,HTFGB-30BS_center,74,markers,155,227.88,190.02,1899.0,1583.5,7.92,7.92,1.6263,150.421
thesis_fig4-22,HTFGB-30BS_center,75,markers,157,228.54,187.92,1904.5,1566.0,7.92,7.92,1.6553,154.466
thesis_fig4-22,HTFGB-30BS_center,76,markers,159,229.38,186.6,1911.5,1555.0,7.92,7.92,1.6924,157.008
thesis_fig4-22,HTFGB-30BS_center,77,markers,161,230.1,185.4,1917.5,1545.0,7.92,7.92,1.7241,159.32
thesis_fig4-22,HTFGB-30BS_center,78,markers,163,231.66,183.12,1930.5,1526.0,7.92,7.92,1.7928,163.711
thesis_fig4-22,HTFGB-30BS_center,79,markers,165,232.2,182.4,1935.0,1520.0,7.92,7.92,1.8166,165.098
thesis_fig4-22,HTFGB-30BS_center,80,markers,167,233.64,180.42,1947.0,1503.5,7.92,7.92,1.8801,168.912
thesis_fig4-22,HTFGB-30BS_center,81,markers,169,235.5,178.14,1962.5,1484.5,7.92,7.92,1.9621,173.303
thesis_fig4-22,HTFGB-30BS_center,82,markers,171,236.28,176.76,1969.0,1473.0,7.92,7.92,1.9964,175.962
thesis_fig4-22,HTFGB-30BS_center,83,markers,173,237.66,175.5,1980.5,1462.5,7.92,7.92,2.0572,178.388
thesis_fig4-22,HTFGB-30BS_center,84,markers,175,239.04,174.48,1992.0,1454.0,7.92,7.92,2.118,180.353
thesis_fig4-22,HTFGB-30BS_center,85,markers,177,240.54,172.98,2004.5,1441.5,7.92,7.92,2.1841,183.242
thesis_fig4-22,HTFGB-30BS_center,86,markers,179,243.12,170.28,2026.0,1419.0,7.92,7.92,2.2978,188.443
thesis_fig4-22,HTFGB-30BS_center,87,markers,181,246.12,168.12,2051.0,1401.0,7.92,7.92,2.43,192.603
thesis_fig4-22,HTFGB-30BS_center,88,markers,183,249.24,165.6,2077.0,1380.0,7.92,7.92,2.5675,197.457
thesis_fig4-22,HTFGB-30BS_center,89,markers,185,252.96,163.2,2108.0,1360.0,7.92,7.92,2.7315,202.08
thesis_fig4-22,HTFGB-30BS_center,90,markers,187,256.89,160.62,2140.8,1338.5,7.86,7.92,2.9046,207.049
thesis_fig4-22,HTFGB-30BS_center,91,markers,189,259.14,159.6,2159.5,1330.0,7.92,7.92,3.0038,209.014
thesis_fig4-22,HTFGB-30BS_center,92,markers,191,264.84,156.42,2207.0,1303.5,7.92,7.92,3.255,215.139
thesis_fig4-22,HTFGB-30BS_center,93,markers,193,270.54,154.5,2254.5,1287.5,7.92,7.92,3.5061,218.837
thesis_fig4-22,HTFGB-30BS_center,94,markers,195,273.24,152.52,2277.0,1271.0,7.92,7.92,3.6251,222.651
thesis_fig4-22,HTFGB-30BS_center,95,markers,197,276.3,152.94,2302.5,1274.5,7.92,7.92,3.76,221.842
