connector_test,type,slip_in,force_kips
MEAN_DBLNB,DBLNB,0.00064,2.0
MEAN_DBLNB,DBLNB,0.00104,2.5
MEAN_DBLNB,DBLNB,0.0014,3.0
MEAN_DBLNB,DBLNB,0.00155,3.5
MEAN_DBLNB,DBLNB,0.00169,4.0
MEAN_DBLNB,DBLNB,0.00182,4.5
MEAN_DBLNB,DBLNB,0.00195,5.0
MEAN_DBLNB,DBLNB,0.00273,6.0
MEAN_DBLNB,DBLNB,0.00312,7.0
MEAN_DBLNB,DBLNB,0.00399,8.0
MEAN_DBLNB,DBLNB,0.0046,9.0
MEAN_DBLNB,DBLNB,0.00578,10.0
MEAN_DBLNB,DBLNB,0.00686,11.0
MEAN_DBLNB,DBLNB,0.00837,12.0
MEAN_DBLNB,DBLNB,0.0101,13.0
MEAN_DBLNB,DBLNB,0.01435,14.0
MEAN_DBLNB,DBLNB,0.01923,15.0
MEAN_DBLNB,DBLNB,0.02589,16.0
MEAN_DBLNB,DBLNB,0.0345,17.0
MEAN_DBLNB,DBLNB,0.04278,18.0
MEAN_DBLNB,DBLNB,0.05008,19.0
MEAN_DBLNB,DBLNB,0.05754,20.0
MEAN_DBLNB,DBLNB,0.0825,21.0
MEAN_DBLNB,DBLNB,0.08631,22.0
MEAN_DBLNB,DBLNB,0.09089,23.0
MEAN_DBLNB,DBLNB,0.09485,24.0
MEAN_DBLNB,DBLNB,0.09943,25.0
MEAN_DBLNB,DBLNB,0.10468,26.0
MEAN_DBLNB,DBLNB,0.10896,27.0
MEAN_DBLNB,DBLNB,0.11397,28.0
MEAN_DBLNB,DBLNB,0.12041,29.0
MEAN_DBLNB,DBLNB,0.12609,30.0
MEAN_DBLNB,DBLNB,0.13456,31.0
MEAN_DBLNB,DBLNB,0.14159,32.0
MEAN_DBLNB,DBLNB,0.15187,33.0
MEAN_DBLNB,DBLNB,0.1619,34.0
MEAN_DBLNB,DBLNB,0.17675,35.0
MEAN_DBLNB,DBLNB,0.18987,36.0
MEAN_DBLNB,DBLNB,0.20976,37.0
MEAN_DBLNB,DBLNB,0.23182,38.0
MEAN_DBLNB,DBLNB,0.35977,41.26
MEAN_DBLNB,DBLNB,0.3867,39.2
MEAN_HTFGB,HTFGB,0.00025,3.5
MEAN_HTFGB,HTFGB,0.00029,4.0
MEAN_HTFGB,HTFGB,0.00032,4.5
MEAN_HTFGB,HTFGB,0.00036,5.0
MEAN_HTFGB,HTFGB,0.00043,6.0
MEAN_HTFGB,HTFGB,0.00051,7.0
MEAN_HTFGB,HTFGB,0.00058,8.0
MEAN_HTFGB,HTFGB,0.00065,9.0
MEAN_HTFGB,HTFGB,0.00088,10.0
MEAN_HTFGB,HTFGB,0.00548,11.0
MEAN_HTFGB,HTFGB,0.01677,12.0
MEAN_HTFGB,HTFGB,0.02982,13.0
MEAN_HTFGB,HTFGB,0.05338,14.0
MEAN_HTFGB,HTFGB,0.07564,15.0
MEAN_HTFGB,HTFGB,0.09996,16.0
MEAN_HTFGB,HTFGB,0.12156,17.0
MEAN_HTFGB,HTFGB,0.13986,18.0
MEAN_HTFGB,HTFGB,0.14622,19.0
MEAN_HTFGB,HTFGB,0.16256,20.0
MEAN_HTFGB,HTFGB,0.16694,21.0
MEAN_HTFGB,HTFGB,0.17483,22.0
MEAN_HTFGB,HTFGB,0.18074,23.0
MEAN_HTFGB,HTFGB,0.19368,24.0
MEAN_HTFGB,HTFGB,0.1985,25.0
MEAN_HTFGB,HTFGB,0.20476,26.0
MEAN_HTFGB,HTFGB,0.211,27.0
MEAN_HTFGB,HTFGB,0.22339,28.0
MEAN_HTFGB,HTFGB,0.22908,29.0
MEAN_HTFGB,HTFGB,0.23851,30.0
MEAN_HTFGB,HTFGB,0.24345,31.0
MEAN_HTFGB,HTFGB,0.25956,32.0
MEAN_HTFGB,HTFGB,0.26975,33.0
MEAN_HTFGB,HTFGB,0.27852,34.0
MEAN_HTFGB,HTFGB,0.29518,35.0
MEAN_HTFGB,HTFGB,0.30209,36.0
MEAN_HTFGB,HTFGB,0.31447,37.0
MEAN_HTFGB,HTFGB,0.32642,38.0
MEAN_HTFGB,HTFGB,0.34681,39.0
MEAN_HTFGB,HTFGB,0.36172,40.0
MEAN_HTFGB,HTFGB,0.37739,41.0
MEAN_HTFGB,HTFGB,0.40161,42.0
MEAN_HTFGB,HTFGB,0.41597,43.0
MEAN_HTFGB,HTFGB,0.42901,44.0
MEAN_HTFGB,HTFGB,0.46398,45.0
MEAN_HTFGB,HTFGB,0.48677,46.0
MEAN_HTFGB,HTFGB,0.50629,47.0
MEAN_HTFGB,HTFGB,0.54126,48.0
MEAN_HTFGB,HTFGB,0.58115,49.0
MEAN_HTFGB,HTFGB,0.8929,53.0
MEAN_HTFGB,HTFGB,1.54,50.35
MEAN_HASAA,HASAA,0.00029,1.0
MEAN_HASAA,HASAA,0.00044,1.5
MEAN_HASAA,HASAA,0.00058,2.0
MEAN_HASAA,HASAA,0.00073,2.5
MEAN_HASAA,HASAA,0.00088,3.0
MEAN_HASAA,HASAA,0.00103,3.5
MEAN_HASAA,HASAA,0.00118,4.0
MEAN_HASAA,HASAA,0.00161,4.5
MEAN_HASAA,HASAA,0.00247,5.0
MEAN_HASAA,HASAA,0.00345,6.0
MEAN_HASAA,HASAA,0.00564,7.0
MEAN_HASAA,HASAA,0.00758,8.0
MEAN_HASAA,HASAA,0.00999,9.0
MEAN_HASAA,HASAA,0.01311,10.0
MEAN_HASAA,HASAA,0.01547,11.0
MEAN_HASAA,HASAA,0.01783,12.0
MEAN_HASAA,HASAA,0.02128,13.0
MEAN_HASAA,HASAA,0.02331,14.0
MEAN_HASAA,HASAA,0.02619,15.0
MEAN_HASAA,HASAA,0.03037,16.0
MEAN_HASAA,HASAA,0.03282,17.0
MEAN_HASAA,HASAA,0.03616,18.0
MEAN_HASAA,HASAA,0.04049,19.0
MEAN_HASAA,HASAA,0.04385,20.0
MEAN_HASAA,HASAA,0.0475,21.0
MEAN_HASAA,HASAA,0.05237,22.0
MEAN_HASAA,HASAA,0.05696,23.0
MEAN_HASAA,HASAA,0.06338,24.0
MEAN_HASAA,HASAA,0.06808,25.0
MEAN_HASAA,HASAA,0.07605,26.0
MEAN_HASAA,HASAA,0.08224,27.0
MEAN_HASAA,HASAA,0.09202,28.0
MEAN_HASAA,HASAA,0.10026,29.0
MEAN_HASAA,HASAA,0.11291,30.0
MEAN_HASAA,HASAA,0.1243,31.0
MEAN_HASAA,HASAA,0.13929,32.0
MEAN_HASAA,HASAA,0.16059,33.0
MEAN_HASAA,HASAA,0.3446,36.18
MEAN_HASAA,HASAA,0.4067,34.37
