figure,specimen,drawing_index,pdf_x_pt,pdf_y_pt,slip_in,total_load_kip
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,488.224,0.01071,78.416
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,487.475,0.01071,79.335
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,486.727,0.01071,80.253
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,485.979,0.01071,81.172
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,485.231,0.01071,82.091
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,484.483,0.01071,83.009
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,483.735,0.01071,83.928
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,482.986,0.01071,84.847
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,482.238,0.01071,85.765
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,481.49,0.01071,86.684
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,480.742,0.01071,87.603
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,479.994,0.01071,88.521
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,479.245,0.01071,89.44
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,478.497,0.01071,90.358
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,477.749,0.01071,91.277
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,477.001,0.01071,92.196
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,476.253,0.01071,93.114
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,151.421,475.505,0.01071,94.033
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,474.756,0.01174,94.952
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,474.008,0.01174,95.87
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,473.26,0.01174,96.789
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,472.512,0.01174,97.708
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,471.764,0.01174,98.626
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,471.016,0.01174,99.545
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,470.267,0.01174,100.464
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,469.519,0.01174,101.382
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,468.771,0.01174,102.301
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,468.023,0.01174,103.22
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,467.275,0.01174,104.138
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,466.526,0.01174,105.057
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,465.778,0.01278,105.975
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.17,465.778,0.01174,105.975
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,465.778,0.01278,105.975
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,465.03,0.01278,106.894
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,464.282,0.01278,107.813
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,463.534,0.01278,108.731
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,462.786,0.01278,109.65
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,462.037,0.01278,110.569
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,461.289,0.01278,111.487
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,460.541,0.01278,112.406
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,459.793,0.01278,113.325
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,152.919,459.045,0.01278,114.243
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,153.668,459.045,0.01381,114.243
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,153.668,458.296,0.01381,115.162
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,153.668,457.548,0.01381,116.081
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,153.668,456.8,0.01381,116.999
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,153.668,456.052,0.01381,117.918
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,153.668,455.304,0.01381,118.836
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,153.668,454.556,0.01381,119.755
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,153.668,453.807,0.01381,120.674
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,154.417,453.807,0.01484,120.674
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,154.417,453.059,0.01484,121.592
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,154.417,452.311,0.01484,122.511
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,154.417,451.563,0.01484,123.43
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,154.417,450.815,0.01484,124.348
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,154.417,450.066,0.01484,125.267
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,155.166,450.066,0.01588,125.267
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,155.166,449.318,0.01588,126.186
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,155.166,448.57,0.01588,127.104
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,155.166,447.822,0.01588,128.023
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,155.166,447.074,0.01588,128.942
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,155.166,446.326,0.01588,129.86
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,155.915,446.326,0.01691,129.86
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,155.915,445.577,0.01691,130.779
